base,NES,Bandits,Ours
0,0.0,0.0,0.0
100,0.5,6.17,6.02
200,1.18,9.58,9.1
300,1.96,12.87,14.65
400,2.69,16.09,19.78
500,3.45,18.88,22.61
600,4.26,21.43,25.44
700,5.22,23.8,28.18
800,6.19,25.99,30.72
900,7.29,27.96,33.21
1000,8.13,29.78,35.44
1100,8.97,31.67,37.72
1200,10.1,33.48,39.77
1300,10.97,35.05,41.58
1400,12.13,36.56,43.48
1500,13.13,37.93,45.52
1600,14.12,39.2,47.15
1700,15.04,40.45,48.33
1800,16.02,41.51,49.36
1900,16.74,42.73,50.53
2000,17.52,43.79,51.42
2100,18.25,44.78,52.36
2200,19.08,45.7,53.33
2300,19.92,46.62,54.23
2400,20.64,47.54,55.04
2500,21.28,48.49,55.9
2600,21.92,49.27,56.79
2700,22.69,50.04,57.8
2800,23.41,50.67,58.54
2900,23.97,51.24,59.37
3000,24.71,51.79,59.9
3100,25.32,52.42,60.51
3200,25.99,53.03,61.26
3300,26.54,53.62,62.05
3400,27.24,54.25,62.73
3500,27.75,54.78,63.4
3600,28.33,55.27,63.95
3700,28.7,55.83,64.36
3800,29.3,56.34,64.92
3900,29.79,56.9,65.45
4000,30.39,57.23,66.06
4100,30.88,57.66,66.58
4200,31.48,57.97,67.08
4300,31.99,58.42,67.61
4400,32.49,58.81,68.2
4500,32.87,59.27,68.81
4600,33.36,59.7,69.14
4700,33.79,60.04,69.66
4800,34.18,60.41,70.08
4900,34.51,60.79,70.56
5000,34.93,61.12,71.04
5100,35.41,61.48,71.53
5200,35.77,61.82,71.96
5300,36.16,62.13,72.35
5400,36.57,62.49,72.77
5500,36.89,62.89,73.06
5600,37.22,63.24,73.39
5700,37.62,63.55,73.69
5800,38.03,63.91,73.9
5900,38.37,64.21,74.16
6000,38.79,64.45,74.49
6100,39.12,64.84,74.84
6200,39.36,65.09,75.06
6300,39.69,65.4,75.34
6400,40.01,65.66,75.59
6500,40.3,65.86,75.85
6600,40.72,66.06,76.02
6700,40.92,66.33,76.21
6800,41.18,66.63,76.32
6900,41.4,66.84,76.5
7000,41.73,67.08,76.61
7100,42.09,67.35,76.81
7200,42.41,67.54,77.01
7300,42.65,67.69,77.18
7400,42.91,67.87,77.33
7500,43.2,68.07,77.44
7600,43.38,68.25,77.61
7700,43.62,68.44,77.79
7800,43.82,68.65,77.91
7900,44.01,68.82,78.08
8000,44.28,69.06,78.23
8100,44.46,69.29,78.36
8200,44.73,69.38,78.48
8300,44.95,69.58,78.69
8400,45.18,69.76,78.92
8500,45.38,69.97,79.09
8600,45.6,70.09,79.27
8700,45.71,70.28,79.45
8800,45.88,70.43,79.65
8900,46.03,70.62,79.79
9000,46.32,70.76,79.91
9100,46.5,70.99,79.97
9200,46.69,71.14,80.12
9300,46.87,71.33,80.24
9400,47.07,71.51,80.47
9500,47.22,71.65,80.58
9600,47.4,71.74,80.7
9700,47.6,71.91,80.84
9800,47.83,72.07,81.02
9900,48.07,72.23,81.13
10000,48.24,72.35,81.3
